match_id,match_date,team_home_id,homeTeam_name,team_away_id,awayTeam_name,home_goals,away_goals,match_id_1,possession_home,possession_away,passes_home,passes_away,accuratePasses_home,accuratePasses_away,dribblesPct_home,dribblesPct_away,duelWonPct_home,duelWonPct_away,interceptions_home,interceptions_away,blocks_home,blocks_away,clearances_home,clearances_away,xG_home,xG_away,corners_home,corners_away,fouls_home,fouls_away,offsides_home,offsides_away,shotmap_xg_home,shotmap_xg_away,match_id_2,avg_rating_home,weighted_rating_home,xG_from_players_home,goal_contrib_home,avg_rating_away,weighted_rating_away,xG_from_players_away,goal_contrib_away,match_id_3,accurate_pass_home,key_pass_home,goals_home,assists_home,xG_home_summary,xA_home,total_pass_home,total_cross_home,defensive_actions_home,accurate_cross_home,accurate_keeper_sweeper_home,accurate_long_balls_home,aerial_duel_home,aerial_lost_home,aerial_won_home,blocked_home,challenge_won_home,contest_won_home,dispossessed_home,error_lead_to_a_shot_home,shots_on_target_home,shots_off_target_home,avg_rating_home_summary,duel_won_home,duel_lost_home,total_tackle_home,total_clearance_home,interceptions_home_summary,minutes_played_home,accurate_pass_away,key_pass_away,goals_away,assists_away,xG_away_summary,xA_away,total_pass_away,total_cross_away,defensive_actions_away,accurate_cross_away,accurate_keeper_sweeper_away,accurate_long_balls_away,aerial_duel_away,aerial_lost_away,aerial_won_away,blocked_away,challenge_won_away,contest_won_away,dispossessed_away,error_lead_to_a_shot_away,shots_on_target_away,shots_off_target_away,avg_rating_away_summary,duel_won_away,duel_lost_away,total_tackle_away,total_clearance_away,interceptions_away_summary,minutes_played_away,result
12654006,2025-04-13,86576,Persita Tangerang,86542,PS Barito Putera,2.0,1.0,12654006,46.0,54.0,315.0,366.0,270.0,311.0,10.0,21.0,36.0,38.0,14.0,7.0,1.0,6.0,25.0,18.0,1.07,2.44,2.0,8.0,11.0,15.0,0.0,0.0,1.06513,2.439318,12654006,4.2347826086956522,7.0260366441658642,1.07,4,4.5000000000000009,6.9789122137404576,2.43,1,12654006,269,11,2,2,1.07,1.02,314,10,45,4,0,17,36,19,17,6,14,8,5,6,4,6,4.2347826086956522,47,82,6,25,14,1037,311,11,1,0,2.43,0.59,366,17,26,5,0,33,34,18,16,1,3,18,2,0,6,10,4.5000000000000009,52,82,1,18,7,1048,H
12654007,2025-04-12,200020,Persis Solo,491968,Malut United FC,1.0,3.0,12654007,56.0,44.0,430.0,282.0,361.0,234.0,12.0,17.0,35.0,49.0,14.0,16.0,4.0,6.0,3.0,22.0,1.03,2.17,4.0,4.0,10.0,7.0,3.0,1.0,1.0253889999999999,2.1680866999999995,12654007,4.0130434782608706,6.6110453648915195,1.0200000000000002,2,4.5956521739130434,7.1259042033235591,2.1599999999999997,5,12654007,361,6,1,1,1.0200000000000002,0.39,430,15,19,5,0,19,22,13,9,6,9,12,12,3,3,4,4.0130434782608706,42,77,2,3,14,1014,234,8,3,2,2.1599999999999997,1.05,281,8,41,2,0,20,25,11,14,4,10,17,8,2,4,3,4.5956521739130434,59,61,3,22,16,1023,A
12653997,2025-04-12,64295,Persija Jakarta,76319,Persebaya Surabaya,1.0,1.0,12653997,64.0,36.0,477.0,256.0,420.0,206.0,32.0,19.0,44.0,32.0,5.0,14.0,3.0,0.0,9.0,14.0,1.16,0.21,3.0,2.0,6.0,15.0,1.0,0.0,1.1598785999999999,0.20758000000000001,12653997,4.6666666666666661,7.039711538461539,1.15,1,4.655,6.7158560311284043,0.2,2,12653997,420,8,1,0,1.15,0.81,477,19,24,4,0,19,16,7,9,0,13,29,5,1,5,8,4.6666666666666661,64,79,10,9,5,1040,206,5,1,1,0.2,0.2,256,4,31,2,0,17,13,8,5,3,21,16,2,4,3,1,4.655,40,84,3,14,14,1028,D
12654003,2025-04-11,189471,PSIS Semarang,135866,Persik Kediri,0.0,0.0,12654003,48.0,52.0,317.0,342.0,242.0,269.0,13.0,19.0,30.0,40.0,22.0,15.0,4.0,4.0,15.0,20.0,1.49,0.9,3.0,5.0,16.0,9.0,1.0,5.0,1.491165,0.90260599999999991,12654003,4.4956521739130428,6.9846686449060336,1.4999999999999998,0,4.29,7.1664328657314629,0.89999999999999991,0,12654003,242,7,0,0,1.4999999999999998,1.0,317,15,39,7,0,20,22,16,6,4,16,13,10,4,5,7,4.4956521739130428,44,102,2,15,22,1011,269,4,0,0,0.89999999999999991,0.32,342,14,40,2,0,17,21,9,12,4,8,19,6,3,5,4,4.29,59,88,5,20,15,998,D
12654000,2025-04-11,266861,PSBS Biak,204733,PSS Sleman,2.0,1.0,12654000,55.0,45.0,378.0,334.0,324.0,284.0,25.0,14.0,38.0,35.0,11.0,10.0,3.0,2.0,13.0,28.0,2.77,1.04,10.0,3.0,12.0,10.0,1.0,0.0,2.7678899999999995,1.035212,12654000,4.795454545454545,7.0680501930501922,2.77,2,5.6210526315789471,6.77104247104247,1.03,1,12654000,323,9,2,0,2.77,1.61,377,24,27,10,0,27,26,11,15,2,10,22,8,2,9,5,4.795454545454545,55,89,3,13,11,1036,284,5,1,0,1.03,0.98,334,11,39,4,0,12,28,17,11,3,13,13,7,3,4,1,5.6210526315789471,53,97,1,28,10,1036,H
12653996,2025-04-11,189945,Borneo FC Samarinda,64289,Persib Bandung,2.0,2.0,12653996,62.0,38.0,467.0,247.0,402.0,200.0,15.0,13.0,43.0,36.0,9.0,16.0,3.0,3.0,18.0,9.0,0.45,1.8,5.0,5.0,15.0,12.0,2.0,2.0,0.45268500000000006,1.803278,12653996,4.713043478260869,6.8229742612011437,0.45000000000000007,2,5.3210526315789473,6.86496138996139,1.7900000000000003,3,12653996,402,7,2,0,0.45000000000000007,0.21000000000000002,467,23,31,7,0,9,21,13,8,3,9,13,1,3,6,3,4.713043478260869,55,72,4,18,9,1049,199,6,2,1,1.7900000000000003,0.67,245,7,33,4,0,25,22,13,9,3,13,11,6,1,3,3,5.3210526315789473,46,80,8,9,16,1036,D
12653999,2025-04-10,135864,PSM Makassar,86066,Semen Padang FC,2.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,12653999,,,,,,,,,12653999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H
12653998,2025-04-10,64299,Bali United FC,383891,Dewa United FC,0.0,0.0,12653998,33.0,67.0,212.0,494.0,165.0,447.0,26.0,20.0,40.0,37.0,11.0,13.0,3.0,3.0,21.0,9.0,2.61,1.23,7.0,10.0,14.0,15.0,2.0,1.0,2.6053125,1.225194,12653998,4.0695652173913048,7.2328063241106726,2.6100000000000003,0,4.8949999999999987,7.0787671232876717,1.22,0,12653998,165,11,0,0,2.6100000000000003,2.2899999999999996,212,11,37,4,0,17,17,8,9,3,12,22,1,0,5,9,4.0695652173913048,57,85,5,21,11,1012,447,8,0,0,1.22,1.07,494,19,23,7,0,15,15,7,8,3,19,18,6,3,4,4,4.8949999999999987,54,90,1,9,13,1022,D
13561514,2025-04-06,86578,Madura United FC,64295,Persija Jakarta,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,13561514,,,,,,,,,13561514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,H
13560026,2025-03-16,189471,PSIS Semarang,86578,Madura United FC,1.0,2.0,13560026,55.0,45.0,465.0,349.0,402.0,296.0,19.0,7.0,40.0,27.0,11.0,9.0,0.0,0.0,5.0,31.0,1.76,1.3,8.0,2.0,5.0,11.0,1.0,0.0,1.7615499999999997,1.30359,13560026,4.7695652173913041,6.9537453183520608,1.76,2,4.6217391304347819,6.6982725527831111,1.3100000000000003,3,13560026,401,12,1,1,1.76,0.69,464,24,17,9,0,9,31,16,15,0,5,19,2,1,8,10,4.7695652173913041,63,91,1,5,11,1068,295,3,2,1,1.3100000000000003,0.09,348,2,45,0,0,11,29,15,14,0,12,7,4,2,4,0,4.6217391304347819,37,97,5,31,9,1042,A
12653992,2025-03-13,47465,Arema FC,86542,PS Barito Putera,4.0,2.0,12653992,45.0,55.0,298.0,383.0,248.0,316.0,10.0,21.0,32.0,44.0,18.0,8.0,2.0,3.0,12.0,4.0,3.09,1.44,3.0,2.0,17.0,19.0,0.0,0.0,3.0906429999999996,1.4377879999999998,12653992,4.2,6.9101202404809614,3.0900000000000003,7,4.6217391304347819,6.6129770992366419,1.44,3,12653992,247,11,4,3,3.0900000000000003,1.46,297,12,33,5,0,31,43,22,21,3,13,9,8,4,8,5,4.2,54,111,3,12,18,998,314,11,2,1,1.44,0.76,381,21,19,11,0,30,41,21,20,2,9,19,2,7,3,9,4.6217391304347819,67,85,7,4,8,1048,H
12657417,2025-03-12,491968,Malut United FC,86576,Persita Tangerang,2.0,1.0,12657417,52.0,48.0,401.0,360.0,342.0,308.0,7.0,4.0,41.0,34.0,6.0,11.0,3.0,2.0,16.0,14.0,0.91,0.4,5.0,2.0,7.0,9.0,1.0,1.0,0.91164100000000015,0.40315699999999993,12657417,4.4695652173913043,6.8601357904946658,0.91000000000000014,3,4.5521739130434788,6.5843570057581582,0.41000000000000003,1,12657417,342,8,2,1,0.91000000000000014,0.62,401,19,29,6,0,17,21,12,9,2,1,6,5,4,4,6,4.4695652173913043,48,68,7,16,6,1031,306,2,1,0,0.41000000000000003,0.11,358,4,26,1,0,29,24,12,12,3,4,4,13,1,2,2,4.5521739130434788,41,78,1,14,11,1042,H
